time_published,title,summary,overall_sentiment_score,relevance_score
20220102T151843,Adlib Inc. 1991 Gold 1000 Retro Sound Card ISA,"This forum post discusses the sale of an Adlib Inc. 1991 Gold 1000 Retro Sound Card ISA. Users explain its high value due to its rarity, nostalgic appeal, and desirability for retro computer builds among collectors. The card is listed on eBay, and the price reflects its sought-after status.",0.1196,0.924609
20220107T151843,Is eBay's Restatement Of GMV Really Immaterial?,"eBay recently changed its definition of Gross Merchandise Volume (GMV) to include shipping fees and taxes, claiming the impact on previously reported figures is ""immaterial."" However, an analysis of the restated historical metrics reveals a significant annual adjustment of approximately $13 billion, totaling nearly $40 billion over several years, casting doubt on eBay's ""immaterial"" claim. The article also highlights how this change affects the definition of ""Active Buyers"" and raises questions about how sales tax and shipping were previously accounted for.",-0.225086,1.0
20220112T163616,eBay Named as a Best Place to Work in 2022 by Glassdoor,"eBay has been honored with an 2022 Employees’ Choice Award by Glassdoor, recognizing it as a best place to work among U.S. companies with more than 1,000 employees. This award is based on employee reviews gathered between October 2020 and October 2021, evaluating factors such as career opportunities, compensation, culture, diversity, senior management, and work/life balance. The company's Chief People Officer, Cornelius Boone, expressed pride in the award, emphasizing eBay's commitment to supporting and valuing its employees.",0.498151,1.0
20220112T163618,Lightsource bp closes financing package and mobilizes construction on Louisiana’s largest solar project,"Lightsource bp has secured a $533 million multi-project financing package and commenced construction on the 345-megawatt Ventress Solar project in Louisiana, which will be the state's largest solar facility. The project is backed by long-term power purchase agreements with McDonald’s Corporation and eBay Inc. This initiative is expected to create approximately 400 construction jobs and provide significant economic benefits to Pointe Coupee Parish.",0.33631,0.853271
20220113T163618,Lightsource bp closes on $533 million project package in Louisiana,"Lightsource bp has finalized a $533 million multi-project financing package to fund its 345 MW Ventress Solar project in Louisiana and other solar initiatives. The Ventress project will supply clean energy to McDonald’s Corporation and eBay Inc. under long-term power purchase agreements and is expected to create 400 construction jobs and contribute $30 million to Pointe Coupee Parish. Construction has begun, with full commercial operation anticipated in late 2023.",0.308761,0.916254
20220114T154434,"Gen X (Remember Them?) Are Driving the Secondhand Market, The RealReal Says","The RealReal's latest report indicates that Generation X is the primary driver of the secondhand luxury market, even as younger generations show increasing interest in sustainable shopping. The report highlights that a commitment to sustainability is attracting shoppers to resale platforms, with a significant number replacing fast fashion purchases and prioritizing secondhand items for their eco-friendliness. While luxury brands like Gucci and Louis Vuitton are top sellers, there's a notable rise in demand for vintage, unique pieces, and gender-fluid styles across all demographics.",0.289276,0.70414
20220114T162200,"StubHub Explores Going Public, Valued at $13B","StubHub Holdings is considering a direct listing that could value the company at over $13 billion, following other ticket platforms going public. The parent company of StubHub and Viagogo has filed paperwork with the SEC and is working with Goldman Sachs and JPMorgan Chase. Despite facing scrutiny over its merger and carrying significant debt, StubHub expects to rebound to pre-pandemic revenue levels in 2022, though the Omicron variant poses a potential challenge.",0.102155,0.723734
20220118T060300,StubHub Reportedly Considers Going Public,"StubHub Holdings, which operates ticket resale platforms StubHub and viagogo, is reportedly exploring going public via a direct listing as early as 2022. This move could value the company at over $13 billion, with JPMorgan Chase & Co. and Goldman Sachs Group Inc. advising. The decision to pursue a direct listing means selling existing shares without issuing new ones, distinguishing it from a traditional IPO.",0.104438,0.848383
20220124T151843,Artificial Intelligence at PayPal – Two Unique Use-Cases,"PayPal leverages AI and machine learning for two critical business functions: enhancing payment authorization rates and preventing fraud. By using ML models like Gradient Boosting Machines, PayPal predicts and remedies issuer declines, significantly increasing approval rates for valid transactions. For fraud prevention, the company employs machine learning and graph technologies to analyze vast transaction data in real-time, identifying suspicious patterns and reducing financial losses for merchants and buyers.",0.212072,0.317564
20220125T163616,eBay Launches Authentication for Trading Cards,"eBay has launched its Authenticity Guarantee service for trading cards, initially covering single ungraded cards sold for $750+ in the U.S., with plans to expand to graded, autograph, and patch cards. This service aims to increase buyer and seller confidence in the rapidly growing trading card market, which saw $2 billion in transactions in the first half of 2021. The authentication process involves a multi-point physical inspection by third-party authenticators, contributing to eBay's commitment to trusted marketplaces for high-value items.",0.024334,0.325979
20220127T165000,"eBay Inc. stock falls Thursday, underperforms market","eBay Inc. (EBAY) stock fell by 1.75% on Thursday, closing at $56.70. This decline occurred during a generally poor trading session for the market, with the S&P 500 and Dow Jones Industrial Average also seeing decreases. The stock underperformed compared to some competitors and closed significantly below its 52-week high.",0.045428,1.0
20220128T151843,eBay Video In Listings Delays Raise Server Processing & Latency Concerns,"eBay is facing significant delays in processing videos uploaded by sellers to their listings, leading to concerns about server capacity and artificial latency. Sellers report videos remaining ""under review"" for days, impacting sales, while eBay blames backlogs, raising questions about their review process for this new feature. The article suggests these delays might be an intentional part of eBay's ""Speed"" initiative from 2019, prioritizing buyer-facing site performance over seller tools during peak times.",-0.244365,1.0
20220128T152727,"Power battle at Huntsman heats up, with activist investor Starboard raising the stakes","A proxy battle is intensifying at Houston-area chemical company Huntsman Corp., with activist investor Starboard Value pushing for changes to the board of directors. Starboard, which owns nearly 9% of Huntsman, criticizes the company's underperformance and missed financial targets, while Huntsman defends its ongoing initiatives to create shareholder value. This contest is not the first for Huntsman and reflects broader boardroom activism within the chemicals sector, with analysts noting Huntsman has lagged some peers in efficiency.",-0.063676,0.603204
20220202T143402,PayPal scraps account growth goal,"PayPal has abandoned its goal of reaching 750 million customer accounts by 2025 following disappointing fourth-quarter results and a lowered revenue growth forecast for 2022. The company now plans to shift its strategy away from aggressive new user acquisition to focus more on engaging existing account holders and boosting their activity, aiming for sustainable growth and higher-value customers. This strategic pivot comes amidst macroeconomic pressures and the lingering impact of its separation from eBay.",-0.315659,0.712048
20220203T142743,How Malaysia Got in on the Secondhand Clothing Boom (Published 2022),"Malaysia has become a significant player in the booming global secondhand clothing market, with many sellers operating from the country on platforms like Etsy, eBay, and Grailed. This trend is driven by increased consumer interest in affordable, eco-friendly alternatives to fast fashion, fueled by factors such as the pandemic and environmental concerns. The secondhand clothing sector is projected to reach nearly $77 billion by 2025.",0.238669,0.822692
20220208T083000,"MySize Acquires Orgad, an Omnichannel E-Commerce Platform with a Presence on Amazon.com","MySize, Inc. has acquired Orgad, an omnichannel e-commerce platform with global operations, including on Amazon.com. This strategic acquisition expands MySize's business into direct e-commerce selling and is expected to leverage MySizeID technology to increase profitability by reducing returns. Orgad generated approximately $2.5 million in revenue in 2021 and manages over 1,000 SKUs, primarily in fashion and apparel.",0.303654,0.567268
20220219T090000,"Inside the $644 billion business of reselling returned items, from electronics to bizarre finds","The liquidation market, which resells returned goods, has grown into a $644 billion industry due to the increasing volume of returns, particularly from online shopping. This sector offers a solution for retailers facing significant costs and environmental impact from returns, with companies like Liquidity Services and B-Stock Solutions specializing in reselling everything from electronics to unusual items. The boom in liquidation is also fueled by growing consumer demand for sustainable and secondhand goods, leading to the rise of direct-to-consumer liquidation stores and refurbished item marketplaces.",0.201313,0.626038
